Variable,Total,Gen Z,Millennial,Gen X,Boomer,Silent,Test
N (unweighted),"201,168","11,038","50,325","48,042","68,065","23,698",
"Age, M (SD)",47.9 (18.2),21.0 (2.3),31.5 (5.1),47.5 (5.2),64.2 (5.8),79.6 (3.8),"F(4, 117406) = 665381.3***"
"Female, n (%)","106,788 (51.6)","5,507 (49.4)","26,317 (50.2)","24,942 (51.0)","36,496 (52.4)","13,526 (57.2)","F(3, 374115) = 60.6***"
Race/ethnicity,,,,,,,"F(15, 1728276) = 212.6***"
"  White NH, n (%)","144,946 (62.6)","6,416 (51.6)","32,592 (55.2)","32,739 (60.0)","53,428 (71.3)","19,771 (78.5)",
"  Black NH, n (%)","18,583 (11.8)","1,212 (13.6)","4,791 (13.3)","4,685 (11.9)","6,208 (10.8)","1,687 (8.0)",
"  Hispanic, n (%)","22,817 (16.8)","2,315 (24.2)","7,964 (21.0)","6,586 (18.9)","4,757 (11.0)","1,195 (8.1)",
"  Asian NH, n (%)","9,619 (6.2)",601 (6.2),"3,286 (7.2)","2,697 (6.9)","2,343 (5.0)",692 (4.1),
"  Other, n (%)","5,203 (2.6)",494 (4.4),"1,692 (3.3)","1,335 (2.3)","1,329 (1.8)",353 (1.3),
"Education BA+, n (%)","73,097 (34.6)","1,582 (13.3)","21,876 (40.8)","19,530 (39.3)","23,245 (33.4)","6,864 (28.2)","F(4, 422182) = 766.5***"
"Employed, n (%)","118,676 (62.1)","6,984 (60.4)","41,119 (80.8)","38,611 (79.7)","30,015 (45.0)","1,947 (7.6)","F(4, 419255) = 6474.1***"
"Married, n (%)","110,475 (52.2)","1,061 (7.4)","25,060 (46.6)","30,300 (64.7)","42,339 (62.8)","11,715 (49.3)","F(4, 433364) = 2793.5***"
"Metropolitan, n (%)","158,531 (86.3)","8,810 (86.5)","41,467 (88.7)","38,649 (87.3)","51,816 (83.9)","17,789 (82.8)","F(4, 424107) = 114.5***"
"Family income ($), M (SD)","97,683 (60,836)","92,704 (61,417)","100,659 (59,981)","111,025 (60,894)","93,007 (60,040)","69,646 (53,038)","F(4, 117406) = 1238.7***"
"Socialization freq., M (SD)",3.2 (1.7),2.5 (1.7),2.9 (1.7),3.2 (1.7),3.5 (1.7),3.7 (1.8),"F(4, 116828) = 1031.8***"
"Minimal socialization, n (%)","74,735 (41.0)","6,542 (60.3)","22,800 (48.3)","17,487 (38.1)","20,852 (32.6)","7,054 (32.1)","F(4, 431620) = 883.1***"
"Civic social media use, n (%)","25,456 (12.8)","1,794 (16.4)","7,375 (14.6)","6,418 (12.7)","8,026 (11.5)","1,843 (7.6)","F(4, 415137) = 127.5***"
"Volunteered, n (%)","64,366 (29.4)","2,634 (23.4)","16,010 (28.3)","17,656 (34.5)","21,929 (29.7)","6,137 (24.0)","F(4, 424814) = 175.5***"
