generation,wave,vol_pct,vol_se,nosoc_pct,nosoc_se,lowsoc_pct,lowsoc_se,n
Gen Z,2017,25.7,1.2,44.6,1.4,56.6,1.4,1839
Millennial,2017,29,0.5,33,0.5,46.6,0.6,14323
Gen X,2017,38.1,0.5,21.7,0.4,34.1,0.5,15075
Boomer,2017,32.3,0.4,18,0.3,29.3,0.4,20397
Silent,2017,26.1,0.6,17.6,0.5,28,0.6,8103
Gen Z,2019,27.1,1.1,47.5,1.3,60.2,1.3,2400
Millennial,2019,29.3,0.5,36.2,0.6,50.5,0.6,13072
Gen X,2019,36.9,0.5,26.1,0.5,39.4,0.6,12552
Boomer,2019,31.9,0.5,21.1,0.4,33.2,0.5,17597
Silent,2019,26.7,0.7,21.6,0.7,32,0.7,6607
Gen Z,2021,19.2,0.9,47.8,1.2,62.4,1.2,2859
Millennial,2021,23.5,0.5,35.3,0.6,50.1,0.6,11483
Gen X,2021,28.9,0.6,27.1,0.6,40.9,0.6,10293
Boomer,2021,25.3,0.5,22.9,0.5,35.3,0.5,14901
Silent,2021,19.2,0.7,23.6,0.8,35.6,0.9,4903
Gen Z,2023,23.7,0.9,47.8,1,60,1,3940
Millennial,2023,31.1,0.6,31.7,0.6,45.9,0.6,11447
Gen X,2023,33.9,0.6,24.5,0.6,37.9,0.6,10122
Boomer,2023,29,0.5,21,0.5,32.9,0.5,15170
Silent,2023,22.7,0.8,24.9,0.9,34.9,1,4085
