"soc_factor","generation","pred_pct","ci_low","ci_high"
"Not at all","Gen Z",27.3,24.6,30
"Not at all","Millennial",21.7,20.2,23.2
"Not at all","Gen X",22,20.7,23.2
"Not at all","Boomer",16.7,15.6,17.8
"Not at all","Silent",13.7,12,15.4
"Few times/yr","Gen Z",38.7,34.3,43.1
"Few times/yr","Millennial",30.7,28.5,32.8
"Few times/yr","Gen X",33.3,31.5,35
"Few times/yr","Boomer",26.6,25.1,28.1
"Few times/yr","Silent",22.8,20.1,25.4
"Once/mo","Gen Z",47.9,42.8,53
"Once/mo","Millennial",35.5,33.1,37.8
"Once/mo","Gen X",38.7,36.8,40.7
"Once/mo","Boomer",33.6,31.8,35.3
"Once/mo","Silent",28.1,25.1,31.2
"Few times/mo","Gen Z",48.4,43.9,52.9
"Few times/mo","Millennial",37.3,35.2,39.5
"Few times/mo","Gen X",41.5,40,43.1
"Few times/mo","Boomer",36.8,35.4,38.3
"Few times/mo","Silent",31.4,28.9,33.9
"Few times/wk","Gen Z",48.3,43.8,52.8
"Few times/wk","Millennial",42,39.8,44.2
"Few times/wk","Gen X",48.3,46.8,49.9
"Few times/wk","Boomer",42.9,41.4,44.4
"Few times/wk","Silent",39.6,37.2,42.1
"Daily","Gen Z",50.8,44.9,56.6
"Daily","Millennial",45.6,42.7,48.5
"Daily","Gen X",48.1,45.7,50.4
"Daily","Boomer",46.8,44.9,48.8
"Daily","Silent",40.9,38.1,43.7
